Q2_lo,xB_lo,zh_lo,pT2_lo,Q2_hi,xB_hi,zh_hi,pT2_hi,N_e,err_e,N_pi,err_pi,R,err_R
2.6,0.3,0.3,0.0,4.6,0.45,0.5,0.3,81894.0,286.1712773847159,4825.0,69.46221994724903,0.058917625222849046,0.0008728259769450619
2.6,0.3,0.3,0.3,4.6,0.45,0.5,0.8,81894.0,286.1712773847159,1437.0,37.907782842049734,0.01754707304564437,0.0004669319101068321
2.6,0.3,0.3,0.8,4.6,0.45,0.5,1.5,81894.0,286.1712773847159,154.0,12.409673645990857,0.0018804796444183945,0.00015167577887382767
2.6,0.3,0.5,0.0,4.6,0.45,0.7,0.3,81894.0,286.1712773847159,1906.0,43.657759905886145,0.023273988326373115,0.0005392688457205731
2.6,0.3,0.5,0.3,4.6,0.45,0.7,0.8,81894.0,286.1712773847159,782.0,27.964262908219126,0.009548929103475224,0.00034309546576172305
2.6,0.3,0.5,0.8,4.6,0.45,0.7,1.5,81894.0,286.1712773847159,80.0,8.94427190999916,0.0009768725425550102,0.00010927100337538209
2.6,0.3,0.7,0.0,4.6,0.45,1.0,0.3,81894.0,286.1712773847159,1459.0,38.19685850956856,0.017815712994846997,0.0004705547236214485
2.6,0.3,0.7,0.3,4.6,0.45,1.0,0.8,81894.0,286.1712773847159,392.0,19.79898987322333,0.004786675458519549,0.00024234155094441986
2.6,0.3,0.7,0.8,4.6,0.45,1.0,1.5,81894.0,286.1712773847159,53.0,7.280109889280518,0.0006471780594426942,8.892550457847334e-05
