Q2_lo,xB_lo,zh_lo,pT2_lo,Q2_hi,xB_hi,zh_hi,pT2_hi,N_e,err_e,N_pi,err_pi,R,err_R
2.6,0.3,0.3,0.0,4.6,0.45,0.5,0.3,65584.0,256.09373284014583,2591.0,50.90186637049765,0.0395065869724323,0.0007913150549192035
2.6,0.3,0.3,0.3,4.6,0.45,0.5,0.8,65584.0,256.09373284014583,865.0,29.410882339705484,0.013189192485972188,0.0004513936310122085
2.6,0.3,0.3,0.8,4.6,0.45,0.5,1.5,65584.0,256.09373284014583,132.0,11.489125293076057,0.002012686020980727,0.00017535803674965228
2.6,0.3,0.5,0.0,4.6,0.45,0.7,0.3,65584.0,256.09373284014583,976.0,31.240998703626616,0.014881678458160527,0.00047988228046978075
2.6,0.3,0.5,0.3,4.6,0.45,0.7,0.8,65584.0,256.09373284014583,452.0,21.2602916254693,0.006891924859721884,0.0003252840326213608
2.6,0.3,0.5,0.8,4.6,0.45,0.7,1.5,65584.0,256.09373284014583,83.0,9.1104335791443,0.0012655525737984875,0.00013900031444703627
2.6,0.3,0.7,0.0,4.6,0.45,1.0,0.3,65584.0,256.09373284014583,721.0,26.851443164195103,0.010993535008538668,0.0004116649772528927
2.6,0.3,0.7,0.3,4.6,0.45,1.0,0.8,65584.0,256.09373284014583,242.0,15.556349186104045,0.0036899243717979993,0.00023763453944288963
2.6,0.3,0.7,0.8,4.6,0.45,1.0,1.5,65584.0,256.09373284014583,38.0,6.164414002968976,0.0005794096121005123,9.401987687120135e-05
