Q2_lo,xB_lo,zh_lo,pT2_lo,Q2_hi,xB_hi,zh_hi,pT2_hi,N_e,err_e,N_pi,err_pi,R,err_R
2.6,0.3,0.3,0.0,4.6,0.45,0.5,0.3,91410.0,302.3408672343188,3060.0,55.31726674375732,0.033475549721037084,0.0006152011059188707
2.6,0.3,0.3,0.3,4.6,0.45,0.5,0.8,91410.0,302.3408672343188,1247.0,35.31288716601915,0.013641833497429165,0.0003889392574224729
2.6,0.3,0.3,0.8,4.6,0.45,0.5,1.5,91410.0,302.3408672343188,244.0,15.620499351813308,0.0026692921999781206,0.00017111184002458035
2.6,0.3,0.5,0.0,4.6,0.45,0.7,0.3,91410.0,302.3408672343188,1138.0,33.734255586866,0.012449403785143857,0.0003713334619744671
2.6,0.3,0.5,0.3,4.6,0.45,0.7,0.8,91410.0,302.3408672343188,527.0,22.956480566497994,0.005765233563067498,0.00025186041131575984
2.6,0.3,0.5,0.8,4.6,0.45,0.7,1.5,91410.0,302.3408672343188,124.0,11.135528725660043,0.001356525544251176,0.00012190218773199806
2.6,0.3,0.7,0.0,4.6,0.45,1.0,0.3,91410.0,302.3408672343188,782.0,27.964262908219126,0.008554862706487256,0.0003072270363052927
2.6,0.3,0.7,0.3,4.6,0.45,1.0,0.8,91410.0,302.3408672343188,243.0,15.588457268119896,0.002658352477847063,0.00017075990945473332
2.6,0.3,0.7,0.8,4.6,0.45,1.0,1.5,91410.0,302.3408672343188,34.0,5.830951894845301,0.0003719505524559676,6.380085556193383e-05
