Q2_lo,xB_lo,zh_lo,pT2_lo,Q2_hi,xB_hi,zh_hi,pT2_hi,N_e,err_e,N_pi,err_pi,R,err_R
2.6,0.3,0.3,0.0,4.6,0.45,0.5,0.3,110410.0,332.28000240760804,8303.0,91.12079894294168,0.07520152160130424,0.0008557640620002746
2.6,0.3,0.3,0.3,4.6,0.45,0.5,0.8,110410.0,332.28000240760804,2084.0,45.65084884205331,0.01887510189294448,0.00041735048470635045
2.6,0.3,0.3,0.8,4.6,0.45,0.5,1.5,110410.0,332.28000240760804,184.0,13.564659966250536,0.0016665157141563264,0.0001229594975144242
2.6,0.3,0.5,0.0,4.6,0.45,0.7,0.3,110410.0,332.28000240760804,2816.0,53.0659966456864,0.025504936147088125,0.0004867173109091739
2.6,0.3,0.5,0.3,4.6,0.45,0.7,0.8,110410.0,332.28000240760804,1081.0,32.87856444554719,0.009790779820668418,0.0002992403386494248
2.6,0.3,0.5,0.8,4.6,0.45,0.7,1.5,110410.0,332.28000240760804,177.0,13.30413469565007,0.0016031156598134227,0.00012059409889039178
2.6,0.3,0.7,0.0,4.6,0.45,1.0,0.3,110410.0,332.28000240760804,1811.0,42.555845661906424,0.016402499773571236,0.00038858289322498866
2.6,0.3,0.7,0.3,4.6,0.45,1.0,0.8,110410.0,332.28000240760804,561.0,23.68543856465402,0.005081061498052712,0.00021506689527021848
2.6,0.3,0.7,0.8,4.6,0.45,1.0,1.5,110410.0,332.28000240760804,80.0,8.94427190999916,0.0007245720496331854,8.103896121686277e-05
